#doc source pos typeindex type topic
#alpha : 0.07588863700944166 0.08252461808819693 0.02465189813184513 0.06883597910497363 0.1008975006436197 0.07226123601494343 0.17483335339433567 0.09635722697254803 0.1202292566554013 0.13154458014074033 0.06523519113294725 0.12859450590605384 0.14085505988809907 0.09451530750339134 0.06214366374082367 0.09427541544661898 0.1224233145430571 0.11341160341208258 0.04545868939718924 0.17717228499814913 0.11298367259690491 0.06311464863082268 0.10822377894060063 0.09969158547575743 0.1088782320245267 0.1571849957621863 0.0510603614084028 0.08701975301120149 0.07942729675625342 0.04955354691597576 0.06825062507902484 0.06860437573833209 0.07058946507059928 0.04840050301296665 0.09461096184851571 0.0763346859039285 0.153594778306716 0.09055369394789708 0.082665255035894 0.07302074121236975 0.05095529949286401 0.09885313462677224 0.094317667829873 0.12636391294490376 0.0685987767811533 0.10509716588645605 0.11443714675714756 0.07643935761637204 0.06222379334657256 0.06574820833298438 0.051208428843817766 0.05031422539636882 0.09115287387773598 0.09010407073791316 0.06618026390379048 0.05380819274356734 0.08622118137304537 0.09260564374619171 0.058813663128003 0.06653989762530985 0.11108766012568924 0.09419726432817434 0.08839392783607226 0.045359074133015403 0.023299110200213614 0.02215107173789275 0.10347595999412112 0.04318283409039461 0.06175301323500136 0.1446142050237515 0.06705935744077356 0.08671098249034531 0.17089043988102698 0.08274447087615747 0.05424675428123052 0.1650235544883526 0.05870190582371312 0.07963739852627111 0.1263623898905193 0.08206304327458881 0.0886317111398562 0.06330716139076475 0.07908395457035526 0.06277220054195641 0.07297784676607165 0.053267928244920854 0.06589642036838819 0.12006492300198604 0.13413933629873775 0.08059198725577733 0.09939537370671073 0.09688404212879229 0.11333361418070949 0.08749223098959272 0.10026170737147835 0.1532793779237251 0.10215465932621706 0.08123049625084171 0.05709590527266362 0.045115740920796565 
#beta : 0.008121856907500622
0 ../../data/input/txt/1.txt 150 131 mayest 97
0 ../../data/input/txt/1.txt 151 89 true 17
0 ../../data/input/txt/1.txt 152 132 comely 35
0 ../../data/input/txt/1.txt 153 133 maidens 62
0 ../../data/input/txt/1.txt 154 134 sitting 34
0 ../../data/input/txt/1.txt 155 135 opon 19
0 ../../data/input/txt/1.txt 156 41 tree 24
0 ../../data/input/txt/1.txt 157 136 approach 62
0 ../../data/input/txt/1.txt 158 41 tree 64
0 ../../data/input/txt/1.txt 159 137 caution 69
0 ../../data/input/txt/1.txt 160 138 boldly 62
0 ../../data/input/txt/1.txt 161 139 climb 64
0 ../../data/input/txt/1.txt 162 140 seize 34
0 ../../data/input/txt/1.txt 163 141 lovest 17
0 ../../data/input/txt/1.txt 164 142 care 49
0 ../../data/input/txt/1.txt 165 143 bear 24
0 ../../data/input/txt/1.txt 166 144 greenwood 64
0 ../../data/input/txt/1.txt 167 145 build 46
0 ../../data/input/txt/1.txt 168 146 bower 1
0 ../../data/input/txt/1.txt 169 147 give 17
0 ../../data/input/txt/1.txt 170 148 asketh 35
0 ../../data/input/txt/1.txt 171 149 jewel 35
0 ../../data/input/txt/1.txt 172 150 bring 98
0 ../../data/input/txt/1.txt 173 151 trumpet 64
0 ../../data/input/txt/1.txt 174 152 beat 53
0 ../../data/input/txt/1.txt 175 135 opon 19
0 ../../data/input/txt/1.txt 176 153 drum 99
0 ../../data/input/txt/1.txt 177 154 bid 17
0 ../../data/input/txt/1.txt 178 155 goodmorrow 75
0 ../../data/input/txt/1.txt 179 156 home 97
1 ../../data/input/txt/10.txt 0 157 adrift 43
1 ../../data/input/txt/10.txt 1 158 boat 23
1 ../../data/input/txt/10.txt 2 157 adrift 17
1 ../../data/input/txt/10.txt 3 159 coming 58
1 ../../data/input/txt/10.txt 4 160 guide 6
1 ../../data/input/txt/10.txt 5 158 boat 23
1 ../../data/input/txt/10.txt 6 161 nearest 58
1 ../../data/input/txt/10.txt 7 162 town 23
1 ../../data/input/txt/10.txt 8 163 sailors 68
1 ../../data/input/txt/10.txt 9 164 dusk 66
1 ../../data/input/txt/10.txt 10 165 brown 49
1 ../../data/input/txt/10.txt 11 158 boat 23
1 ../../data/input/txt/10.txt 12 166 gave 53
1 ../../data/input/txt/10.txt 13 167 it's 72
1 ../../data/input/txt/10.txt 14 168 strife 23
1 ../../data/input/txt/10.txt 15 169 gurgled 23
1 ../../data/input/txt/10.txt 16 170 angels 39
1 ../../data/input/txt/10.txt 17 171 dawn 95
1 ../../data/input/txt/10.txt 18 172 red 72
1 ../../data/input/txt/10.txt 19 158 boat 23
1 ../../data/input/txt/10.txt 20 173 o'erspent 3
1 ../../data/input/txt/10.txt 21 174 gales 95
1 ../../data/input/txt/10.txt 22 175 retrimmed 23
1 ../../data/input/txt/10.txt 23 167 it's 6
1 ../../data/input/txt/10.txt 24 176 masts 95
1 ../../data/input/txt/10.txt 25 177 redecked 74
1 ../../data/input/txt/10.txt 26 167 it's 6
1 ../../data/input/txt/10.txt 27 178 sails 95
1 ../../data/input/txt/10.txt 28 179 shot 53
1 ../../data/input/txt/10.txt 29 180 exultant 3
2 ../../data/input/txt/100.txt 0 181 recollect 54
2 ../../data/input/txt/100.txt 1 182 amid 52
2 ../../data/input/txt/100.txt 2 183 bells 69
2 ../../data/input/txt/100.txt 3 184 bravoes 17
2 ../../data/input/txt/100.txt 4 185 bystanders 53
2 ../../data/input/txt/100.txt 5 186 cheerful 92
2 ../../data/input/txt/100.txt 6 187 village 86
2 ../../data/input/txt/100.txt 7 188 tranquil 95
2 ../../data/input/txt/100.txt 8 189 repose 62
2 ../../data/input/txt/100.txt 9 190 chastened 10
2 ../../data/input/txt/100.txt 10 191 chapel 62
2 ../../data/input/txt/100.txt 11 192 humble 21
2 ../../data/input/txt/100.txt 12 193 tourist 91
2 ../../data/input/txt/100.txt 13 194 rose 8
2 ../../data/input/txt/100.txt 14 195 talk 25
2 ../../data/input/txt/100.txt 15 196 returning 10
2 ../../data/input/txt/100.txt 16 197 alluded 21
2 ../../data/input/txt/100.txt 17 174 gales 95
2 ../../data/input/txt/100.txt 18 198 propitious 40
2 ../../data/input/txt/100.txt 19 199 grateful 98
2 ../../data/input/txt/100.txt 20 200 roses 21
2 ../../data/input/txt/100.txt 21 201 life's 53
2 ../../data/input/txt/100.txt 22 202 diverse 31
2 ../../data/input/txt/100.txt 23 203 boquet 80
2 ../../data/input/txt/100.txt 24 204 talked 40
2 ../../data/input/txt/100.txt 25 205 softly 94
2 ../../data/input/txt/100.txt 26 206 species 98
2 ../../data/input/txt/100.txt 27 207 pick 8
2 ../../data/input/txt/100.txt 28 208 beguiling 62
2 ../../data/input/txt/100.txt 29 209 wondrous 92
2 ../../data/input/txt/100.txt 30 210 nearer 95
2 ../../data/input/txt/100.txt 31 211 drew 30
2 ../../data/input/txt/100.txt 32 212 hands 53
2 ../../data/input/txt/100.txt 33 213 bustled 95
2 ../../data/input/txt/100.txt 34 214 moorings 92
2 ../../data/input/txt/100.txt 35 215 crowd 80
2 ../../data/input/txt/100.txt 36 216 respectful 98
2 ../../data/input/txt/100.txt 37 217 grew 69
2 ../../data/input/txt/100.txt 38 218 ascended 31
2 ../../data/input/txt/100.txt 39 219 vision 95
2 ../../data/input/txt/100.txt 40 220 countenances 23
2 ../../data/input/txt/100.txt 41 221 difference 22
2 ../../data/input/txt/100.txt 42 222 daisy 92
2 ../../data/input/txt/100.txt 43 223 rest 42
2 ../../data/input/txt/100.txt 44 224 knew 92
3 ../../data/input/txt/1000.txt 0 225 ah 73
3 ../../data/input/txt/1000.txt 1 226 teneriffe 27
3 ../../data/input/txt/1000.txt 2 227 retreating 27
3 ../../data/input/txt/1000.txt 3 228 mountain 27
3 ../../data/input/txt/1000.txt 4 229 purples 27
3 ../../data/input/txt/1000.txt 5 230 ages 27
3 ../../data/input/txt/1000.txt 6 231 pause 94
3 ../../data/input/txt/1000.txt 7 232 reviews 27
3 ../../data/input/txt/1000.txt 8 233 sapphire 27
3 ../../data/input/txt/1000.txt 9 234 regiment 63
3 ../../data/input/txt/1000.txt 10 235 drops 73
3 ../../data/input/txt/1000.txt 11 172 red 27
3 ../../data/input/txt/1000.txt 12 236 adieu 27
3 ../../data/input/txt/1000.txt 13 237 clad 27
3 ../../data/input/txt/1000.txt 14 238 mail 63
3 ../../data/input/txt/1000.txt 15 239 ices 27
3 ../../data/input/txt/1000.txt 16 240 thigh 27
3 ../../data/input/txt/1000.txt 17 241 granite 27
3 ../../data/input/txt/1000.txt 18 242 thew 27
3 ../../data/input/txt/1000.txt 19 243 heedless 73
3 ../../data/input/txt/1000.txt 20 244 alike 27
3 ../../data/input/txt/1000.txt 21 245 pomp 27
3 ../../data/input/txt/1000.txt 22 246 parting 27
3 ../../data/input/txt/1000.txt 23 225 ah 73
3 ../../data/input/txt/1000.txt 24 226 teneriffe 27
3 ../../data/input/txt/1000.txt 25 247 i'm 94
3 ../../data/input/txt/1000.txt 26 248 kneeling 27
4 ../../data/input/txt/1001.txt 0 225 ah 73
4 ../../data/input/txt/1001.txt 1 226 teneriffe 27
4 ../../data/input/txt/1001.txt 2 249 receding 27
4 ../../data/input/txt/1001.txt 3 228 mountain 27
4 ../../data/input/txt/1001.txt 4 229 purples 27
4 ../../data/input/txt/1001.txt 5 230 ages 27
4 ../../data/input/txt/1001.txt 6 250 halt 27
4 ../../data/input/txt/1001.txt 7 232 reviews 27
4 ../../data/input/txt/1001.txt 8 233 sapphire 27
4 ../../data/input/txt/1001.txt 9 251 regiments 27
4 ../../data/input/txt/1001.txt 10 235 drops 73
4 ../../data/input/txt/1001.txt 11 172 red 27
4 ../../data/input/txt/1001.txt 12 236 adieu 27
4 ../../data/input/txt/1001.txt 13 237 clad 27
4 ../../data/input/txt/1001.txt 14 238 mail 25
4 ../../data/input/txt/1001.txt 15 239 ices 27
4 ../../data/input/txt/1001.txt 16 73 eye 11
4 ../../data/input/txt/1001.txt 17 241 granite 27
4 ../../data/input/txt/1001.txt 18 252 ear 11
4 ../../data/input/txt/1001.txt 19 253 passive 68
4 ../../data/input/txt/1001.txt 20 244 alike 27
4 ../../data/input/txt/1001.txt 21 245 pomp 27
4 ../../data/input/txt/1001.txt 22 246 parting 27
4 ../../data/input/txt/1001.txt 23 225 ah 73
4 ../../data/input/txt/1001.txt 24 226 teneriffe 27
4 ../../data/input/txt/1001.txt 25 254 we're 78
4 ../../data/input/txt/1001.txt 26 255 pleading 27
