#doc source pos typeindex type topic
#alpha : 0.11873027123228272 0.2781160813082282 0.2517967203691911 0.387741443552646 0.25087882345732204 0.22511782785297377 0.14700339824236283 0.2393987943010137 0.3211201423870255 0.21561965082051585 0.2404330663347893 0.22577034270836122 0.18462944624556113 0.15167818421114068 0.2599141522984052 0.2819620772878223 0.251778410571001 0.1927612729078475 0.2964768866463462 0.20480549415867025 0.4033162999189583 0.27148442017804214 0.19764228049002092 0.31504437777781163 0.1653672877087818 0.424311801930779 0.19542557601931798 0.1969816690705476 0.29792972129962625 0.4024706513851768 0.4199210878324921 0.15963450732459836 0.19248968845245498 0.19861304233402016 0.32292557893718316 0.5653954143025128 0.1865856948445759 0.20388455624492383 0.35215347726975105 0.22471326374109504 0.2201590960066732 0.23286848950073058 0.17134637980760778 0.20117003176297607 0.20962451661316783 0.15536332849605147 0.15599787823007505 0.2974298739028 0.4021233447341108 0.19477656281269895 0.2046550733726276 0.13469676788844828 0.14248592109302374 0.28859799468783154 0.2189887978255573 0.25561763532576853 0.2620118753217262 0.24893628013328273 0.19062309520365622 0.2321346083175355 0.20845130713028362 0.2900757474272129 0.25685001413561337 0.3712169385993629 0.2568580601286684 0.30082852773175633 0.19731702590914788 0.25676515739644634 0.23390945262229915 0.3186006944624607 0.17433029308331804 0.27288540915235054 0.3501402155990495 0.3540816685399163 0.22182849187774875 0.17431127328549367 0.2195461931772371 0.3043229011069546 0.27658533752161246 0.22188471979157767 0.2267284234881789 0.28014565713903333 0.24473399590841746 0.2351521906833161 0.21352153824868425 0.23125297242128853 0.4569075721184063 0.22724823895433424 0.28696388210772644 0.32264074616130933 0.28009089399002146 0.3465637045390313 0.18728646985446545 0.30009267638648124 0.3120785074107185 0.27437878402580346 0.3730428019146742 0.20911081033704623 0.24828951707050081 0.244349099467586 
#beta : 0.00890133890127676
0 ../../data/input/txt/1.txt 121 104 cold 34
0 ../../data/input/txt/1.txt 122 105 lone 78
0 ../../data/input/txt/1.txt 123 106 wilt 78
0 ../../data/input/txt/1.txt 124 107 kind 34
0 ../../data/input/txt/1.txt 125 108 companion 15
0 ../../data/input/txt/1.txt 126 109 reap'st 77
0 ../../data/input/txt/1.txt 127 110 hast 30
0 ../../data/input/txt/1.txt 128 111 sown 10
0 ../../data/input/txt/1.txt 129 110 hast 18
0 ../../data/input/txt/1.txt 130 112 silent 61
0 ../../data/input/txt/1.txt 131 113 hours 64
0 ../../data/input/txt/1.txt 132 114 minutes 71
0 ../../data/input/txt/1.txt 133 115 deal 27
0 ../../data/input/txt/1.txt 134 116 sad 61
0 ../../data/input/txt/1.txt 135 117 reflection 4
0 ../../data/input/txt/1.txt 136 118 wailing 15
0 ../../data/input/txt/1.txt 137 119 song 78
0 ../../data/input/txt/1.txt 138 120 there's 81
0 ../../data/input/txt/1.txt 139 121 sarah 59
0 ../../data/input/txt/1.txt 140 122 eliza 4
0 ../../data/input/txt/1.txt 141 123 emeline 78
0 ../../data/input/txt/1.txt 142 28 fair 34
0 ../../data/input/txt/1.txt 143 124 harriet 89
0 ../../data/input/txt/1.txt 144 125 susan 78
0 ../../data/input/txt/1.txt 145 126 curling 64
0 ../../data/input/txt/1.txt 146 127 thine 30
0 ../../data/input/txt/1.txt 147 128 eyes 48
0 ../../data/input/txt/1.txt 148 129 sadly 51
0 ../../data/input/txt/1.txt 149 130 blinded 4
0 ../../data/input/txt/1.txt 150 131 mayest 55
0 ../../data/input/txt/1.txt 151 89 true 27
0 ../../data/input/txt/1.txt 152 132 comely 77
0 ../../data/input/txt/1.txt 153 133 maidens 74
0 ../../data/input/txt/1.txt 154 134 sitting 77
0 ../../data/input/txt/1.txt 155 135 opon 63
0 ../../data/input/txt/1.txt 156 41 tree 45
0 ../../data/input/txt/1.txt 157 136 approach 12
0 ../../data/input/txt/1.txt 158 41 tree 12
0 ../../data/input/txt/1.txt 159 137 caution 61
0 ../../data/input/txt/1.txt 160 138 boldly 34
0 ../../data/input/txt/1.txt 161 139 climb 27
0 ../../data/input/txt/1.txt 162 140 seize 77
0 ../../data/input/txt/1.txt 163 141 lovest 15
0 ../../data/input/txt/1.txt 164 142 care 55
0 ../../data/input/txt/1.txt 165 143 bear 57
0 ../../data/input/txt/1.txt 166 144 greenwood 77
0 ../../data/input/txt/1.txt 167 145 build 78
0 ../../data/input/txt/1.txt 168 146 bower 27
0 ../../data/input/txt/1.txt 169 147 give 78
0 ../../data/input/txt/1.txt 170 148 asketh 4
0 ../../data/input/txt/1.txt 171 149 jewel 30
0 ../../data/input/txt/1.txt 172 150 bring 78
0 ../../data/input/txt/1.txt 173 151 trumpet 43
0 ../../data/input/txt/1.txt 174 152 beat 71
0 ../../data/input/txt/1.txt 175 135 opon 63
0 ../../data/input/txt/1.txt 176 153 drum 15
0 ../../data/input/txt/1.txt 177 154 bid 43
0 ../../data/input/txt/1.txt 178 155 goodmorrow 61
0 ../../data/input/txt/1.txt 179 156 home 3
1 ../../data/input/txt/10.txt 0 157 adrift 75
1 ../../data/input/txt/10.txt 1 158 boat 75
1 ../../data/input/txt/10.txt 2 157 adrift 75
1 ../../data/input/txt/10.txt 3 159 coming 29
1 ../../data/input/txt/10.txt 4 160 guide 96
1 ../../data/input/txt/10.txt 5 158 boat 75
1 ../../data/input/txt/10.txt 6 161 nearest 23
1 ../../data/input/txt/10.txt 7 162 town 9
1 ../../data/input/txt/10.txt 8 163 sailors 92
1 ../../data/input/txt/10.txt 9 164 dusk 96
1 ../../data/input/txt/10.txt 10 165 brown 32
1 ../../data/input/txt/10.txt 11 158 boat 75
1 ../../data/input/txt/10.txt 12 166 gave 85
1 ../../data/input/txt/10.txt 13 167 it's 35
1 ../../data/input/txt/10.txt 14 168 strife 18
1 ../../data/input/txt/10.txt 15 169 gurgled 55
1 ../../data/input/txt/10.txt 16 170 angels 70
1 ../../data/input/txt/10.txt 17 171 dawn 79
1 ../../data/input/txt/10.txt 18 172 red 18
1 ../../data/input/txt/10.txt 19 158 boat 75
1 ../../data/input/txt/10.txt 20 173 o'erspent 23
1 ../../data/input/txt/10.txt 21 174 gales 70
1 ../../data/input/txt/10.txt 22 175 retrimmed 56
